USA	Joseph Benavidez	The Beefcake	16–4
USA	Demetrious Johnson (C)	Mighty Mouse	14–2–1
USA	Ian McCall	Uncle Creepy	3–5–1
USA	John Moraga		5–4
BRA	Jussier Formiga	Formiga	5–3
USA	Dustin Ortiz		4–4
JPN	Kyoji Horiguchi		6–1
USA	Sergio Pettis	The Phenom	5–2
BRA	Wilson Reis		5–2
USA	Louis Smolka	Da Last Samurai	5–2
USA	Justin Scoggins	Tank	4–2
USA	Zach Makovsky	Fun Size	3–3
IRE	Neil Seery	2Tap	3–3
USA	Henry Cejudo	The Messenger	4–1
RUS	Ali Bagautinov	Puncher	4–2
USA	Ray Borg	The Tazmexican Devil	3–2
USA	Ryan Benoit	Baby Face	2–2
JPN	Ulka Sasaki	Ulka	2–2
GUM	Jon Delos Reyes	The Heat	1–3
USA	Ben Nguyen	10	2–1
COL	Fredy Serrano	El Profe	2–1
COL	Geane Herrera	The Revolutionary	1–2
CHN	Yao Zhikui	The Conqueror	1–2
BRA	Matheus Nicolau		2–0
PHL	Roldan Sangcha-an	The Executioner	0–2
MEX	Brandon Moreno	The Assassin Baby	1–0
MEX	Hector Sandoval	Kid Alex	0–1
PHL	Jenel Lausa		0–0
USA	Sean Santella	Shorty Rock	0–0
