USA,Nate Marquardt,The Great,14–10,2mw
BRA,Vitor Belfort,The Phenom,14–9,3mw
(BRA	Anderson Silva	The Spider	16–4 ((1 NC)((,4mw,,,
BRA,Lyoto Machida,The Dragon,14–7,5mw
USA,Tim Boetsch[20],The Barbarian,10–9,6mw
USA,Chris Camozzi,,9–8,7mw
USA,CB Dollaway,The Doberman,9–8,8mw
BRA,Thales Leites,,11–5,9mw
BRA,Rafael Natal,Sapo,9–5–1,10mw
((USA	Nick Diaz		8–6 ((1 NC)((,11mw,,,
NED,Gegard Mousasi,The Dreamcatcher,9–3–1,12mw
USA,Brad Tavares,,9–4,13mw
USA,Derek Brunson,,10–2,14mw
BRA,Ronaldo Souza,Jacaré,9–2,15mw
USA,Trevor Smith[21],Hot Sauce,6–5,16mw
USA,Chris Weidman,The All-American,9–1,17mw
USA,Luke Rockhold,,8–2,18mw
JAM,Uriah Hall,Prime Time,5–5,19mw
AUS,Robert Whittaker,The Reaper,7–2,20mw
BRA,Thiago Santos,Marreta,5–4,21mw
CUB,Yoel Romero,Soldier of God,7–1,22mw
USA,Sam Alvey,Smile'N,5–3,23mw
BRA,Cezar Ferreira,Mutante,5–3,24mw
((CUB	Hector Lombard[22]	Showeather	3–4 ((1 NC)((,25mw,,,
USA,Tim Kennedy,,5–2,26mw
USA,Anthony Smith,Lionheart,3–4,27mw
((BRA	Antônio Carlos Júnior	Cara de Sapato	3–2 ((1 NC)((,28mw,,,
POL,Krzysztof Jotko,,5–1,29mw
SWE,Magnus Cedenblad,Jycken,4–1,30mw
AUS,Dan Kelly,,4–1,31mw
CAN,Elias Theodorou,The Spartan,4–1,32mw
BRA,Vitor Miranda,Lex Luthor,3–2,33mw
GBR,Scott Askham,,2–3,34mw
GBR,Bradley Scott,Bear,2–3,35mw
KOR,Dongi Yang,The Ox,2–3,36mw
USA,Jake Collier,The Prototype,2–2,37mw
BRA,Marcelo Guimarães,Magrão,2–2,38mw
ZAF,Garreth McLellan,Soldier Boy,1–3,39mw
NGR,Oluwale Bamgbose,Holy War Angel,1–2,40mw
BRA,Ricardo Abreu,Demente,1–1,41mw
ITA,Alessio Di Chirico,Manzo,1–1,42mw
USA,Alex Nicholson[23],The Spartan,1–1,43mw
USA,Andrew Sanchez[21],El Dirte,1–0,44mw
USA,Eric Spicely,Zebrinha,1–1,45mw
BIH,Elvis Mutapcic[24],The King,0–1–1,46mw
SWE,Jack Hermansson,The Joker,1–0,47mw
USA,Josh Stansbury[25],The Sandman,1–0,48mw
ITA,Marvin Vettori[26],,1–0,49mw
USA,Devin Clark[23],Brown Bear,0–1,50mw
USA,Joseph Gigliotti,Capo Joe,0–1,51mw
((USA	Keith Berish	Sha Bang Bang	0–0 ((1 NC)((,52mw,,,
CAN,Adam Hunter,Warhammer,0–0,53mw
CAN,Ryan Janes,,0–0,54mw
WAL,Jack Marshman,The Hammer,0–0,55mw
(
