Entry	Entry name	Status	Protein names	Gene names	Organism	Length
P05067	A4_HUMAN	reviewed	Amyloid beta A4 protein (ABPP) (APPI) (APP) (Alzheimer disease amyloid protein) (Amyloid precursor protein) (Beta-amyloid precursor protein) (Cerebral vascular amyloid peptide) (CVAP) (PreA4) (Protease nexin-II) (PN-II) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Amyloid intracellular domain 59) (AICD-59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Amyloid intracellular domain 57) (AICD-57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AICD-50) (AID(50)) (Gamma-CTF(50)); C31]	APP A4 AD1	Homo sapiens (Human)	770
P12023	A4_MOUSE	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Amyloidogenic glycoprotein) (AG) (Beta-amyloid precursor protein) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99 (APP-C99); Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (APP-C59) (Amyloid intracellular domain 59) (AID(59)) (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (APP-C57) (Amyloid intracellular domain 57) (AID(57)) (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Amyloid intracellular domain 50) (AID(50)) (Gamma-CTF(50)); C31]	App	Mus musculus (Mouse)	770
P08592	A4_RAT	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Amyloidogenic glycoprotein) (AG) (Beta-amyloid precursor protein) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Gamma-CTF(50)); C31]	App	Rattus norvegicus (Rat)	770
P49768	PSN1_HUMAN	reviewed	Presenilin-1 (PS-1) (EC 3.4.23.-) (Protein S182) [Cleaved into: Presenilin-1 NTF subunit; Presenilin-1 CTF subunit; Presenilin-1 CTF12 (PS1-CTF12)]	PSEN1 AD3 PS1 PSNL1	Homo sapiens (Human)	467
Q9BXS0	COPA1_HUMAN	reviewed	Collagen alpha-1(XXV) chain (Alzheimer disease amyloid-associated protein) (AMY) (CLAC-P) [Cleaved into: Collagen-like Alzheimer amyloid plaque component (CLAC)]	COL25A1	Homo sapiens (Human)	654
P10636	TAU_HUMAN	reviewed	Microtubule-associated protein tau (Neurofibrillary tangle protein) (Paired helical filament-tau) (PHF-tau)	MAPT MAPTL MTBT1 TAU	Homo sapiens (Human)	758
Q12830	BPTF_HUMAN	reviewed	Nucleosome-remodeling factor subunit BPTF (Bromodomain and PHD finger-containing transcription factor) (Fetal Alz-50 clone 1 protein) (Fetal Alzheimer antigen)	BPTF FAC1 FALZ	Homo sapiens (Human)	3046
P02649	APOE_HUMAN	reviewed	Apolipoprotein E (Apo-E)	APOE	Homo sapiens (Human)	317
Q5IS80	A4_PANTR	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Gamma-CTF(50)); C31]	APP	Pan troglodytes (Chimpanzee)	770
P37840	SYUA_HUMAN	reviewed	Alpha-synuclein (Non-A beta component of AD amyloid) (Non-A4 component of amyloid precursor) (NACP)	SNCA NACP PARK1	Homo sapiens (Human)	140
Q60495	A4_CAVPO	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); CTF-alpha; CTF-beta; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)); C31]	APP	Cavia porcellus (Guinea pig)	770
P53601	A4_MACFA	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Gamma-CTF(50)); C31]	APP QccE-15949	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	770
P79307	A4_PIG	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Gamma-CTF(50)); C31]	APP	Sus scrofa (Pig)	770
Q95241	A4_SAISC	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: N-APP; Soluble APP-alpha (S-APP-alpha); Soluble APP-beta (S-APP-beta); C99; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); C83; P3(42); P3(40); C80; Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57)); Gamma-secretase C-terminal fragment 50 (Gamma-CTF(50)); C31]	APP	Saimiri sciureus (Common squirrel monkey)	751
O94985	CSTN1_HUMAN	reviewed	Calsyntenin-1 (Alcadein-alpha) (Alc-alpha) (Alzheimer-related cadherin-like protein) (Non-classical cadherin XB31alpha) [Cleaved into: Soluble Alc-alpha (SAlc-alpha); CTF1-alpha (C-terminal fragment 1-alpha)]	CLSTN1 CS1 KIAA0911	Homo sapiens (Human)	981
Q92673	SORL_HUMAN	reviewed	Sortilin-related receptor (Low-density lipoprotein receptor relative with 11 ligand-binding repeats) (LDLR relative with 11 ligand-binding repeats) (LR11) (SorLA-1) (Sorting protein-related receptor containing LDLR class A repeats) (SorLA)	SORL1 C11orf32	Homo sapiens (Human)	2214
P49841	GSK3B_HUMAN	reviewed	Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1)	GSK3B	Homo sapiens (Human)	420
Q5S007	LRRK2_HUMAN	reviewed	Leucine-rich repeat serine/threonine-protein kinase 2 (EC 2.7.11.1) (Dardarin)	LRRK2 PARK8	Homo sapiens (Human)	2527
P49810	PSN2_HUMAN	reviewed	Presenilin-2 (PS-2) (EC 3.4.23.-) (AD3LP) (AD5) (E5-1) (STM-2) [Cleaved into: Presenilin-2 NTF subunit; Presenilin-2 CTF subunit]	PSEN2 AD4 PS2 PSNL2 STM2	Homo sapiens (Human)	448
P78380	OLR1_HUMAN	reviewed	Oxidized low-density lipoprotein receptor 1 (Ox-LDL receptor 1) (C-type lectin domain family 8 member A) (Lectin-like oxidized LDL receptor 1) (LOX-1) (Lectin-like oxLDL receptor 1) (hLOX-1) (Lectin-type oxidized LDL receptor 1) [Cleaved into: Oxidized low-density lipoprotein receptor 1, soluble form]	OLR1 CLEC8A LOX1	Homo sapiens (Human)	273
P0CG47	UBB_HUMAN	reviewed	Polyubiquitin-B [Cleaved into: Ubiquitin]	UBB	Homo sapiens (Human)	229
O00429	DNM1L_HUMAN	reviewed	Dynamin-1-like protein (EC 3.6.5.5) (Dnm1p/Vps1p-like protein) (DVLP) (Dynamin family member proline-rich carboxyl-terminal domain less) (Dymple) (Dynamin-like protein) (Dynamin-like protein 4) (Dynamin-like protein IV) (HdynIV) (Dynamin-related protein 1)	DNM1L DLP1 DRP1	Homo sapiens (Human)	736
O15294	OGT1_HUMAN	reviewed	UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit (EC 2.4.1.255) (O-GlcNAc transferase subunit p110) (O-linked N-acetylglucosamine transferase 110 kDa subunit) (OGT)	OGT	Homo sapiens (Human)	1046
O14672	ADA10_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c)	ADAM10 KUZ MADM	Homo sapiens (Human)	748
Q9UMX0	UBQL1_HUMAN	reviewed	Ubiquilin-1 (Protein linking IAP with cytoskeleton 1) (PLIC-1) (hPLIC-1)	UBQLN1 DA41 PLIC1	Homo sapiens (Human)	589
Q99MQ5	COPA1_MOUSE	reviewed	Collagen alpha-1(XXV) chain (CLAC-P) [Cleaved into: Collagen-like Alzheimer amyloid plaque component (CLAC)]	Col25a1	Mus musculus (Mouse)	666
P17174	AATC_HUMAN	reviewed	Aspartate aminotransferase, cytoplasmic (cAspAT) (EC 2.6.1.1) (EC 2.6.1.3) (Cysteine aminotransferase, cytoplasmic) (Cysteine transaminase, cytoplasmic) (cCAT) (Glutamate oxaloacetate transaminase 1) (Transaminase A)	GOT1	Homo sapiens (Human)	413
Q10651	A4_CAEEL	reviewed	Beta-amyloid-like protein	apl-1 C42D8.8	Caenorhabditis elegans	686
P29216	A4_MACMU	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) (Fragment)	APP	Macaca mulatta (Rhesus macaque)	76
Q9NY61	AATF_HUMAN	reviewed	Protein AATF (Apoptosis-antagonizing transcription factor) (Rb-binding protein Che-1)	AATF CHE1 DED HSPC277	Homo sapiens (Human)	560
P22303	ACES_HUMAN	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ACHE	Homo sapiens (Human)	614
Q28748	A4_RABIT	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: Soluble APP-beta (S-APP-beta); CTF-alpha; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57))] (Fragment)	APP	Oryctolagus cuniculus (Rabbit)	58
Q8IZY2	ABCA7_HUMAN	reviewed	ATP-binding cassette sub-family A member 7 (ABCA-SSN) (Autoantigen SS-N) (Macrophage ABC transporter)	ABCA7	Homo sapiens (Human)	2146
O93279	A4_TAKRU	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: Beta-amyloid protein (A-beta) (Beta-APP)]	app	Takifugu rubripes (Japanese pufferfish) (Fugu rubripes)	737
Q9UKF2	ADA30_HUMAN	reviewed	Disintegrin and metalloproteinase domain-containing protein 30 (ADAM 30) (EC 3.4.24.-)	ADAM30 UNQ2509/PRO5997	Homo sapiens (Human)	790
Q28053	A4_BOVIN	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: Soluble APP-beta (S-APP-beta); CTF-alpha; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57))] (Fragment)	APP	Bos taurus (Bovine)	59
Q28757	A4_SHEEP	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: Soluble APP-beta (S-APP-beta); CTF-alpha; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57))] (Fragment)	APP	Ovis aries (Sheep)	58
O73683	A4_TETFL	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: Beta-amyloid protein (A-beta) (Beta-APP)]	app	Tetraodon fluviatilis (Green pufferfish) (Chelonodon fluviatilis)	780
P04058	ACES_TETCF	reviewed	Acetylcholinesterase (AChE) (EC 3.1.1.7)	ache	Tetronarce californica (Pacific electric ray) (Torpedo californica)	586
P49753	ACOT2_HUMAN	reviewed	Acyl-coenzyme A thioesterase 2, mitochondrial (Acyl-CoA thioesterase 2) (EC 3.1.2.2) (Acyl-coenzyme A thioester hydrolase 2a) (CTE-Ia) (Long-chain acyl-CoA thioesterase 2) (ZAP128)	ACOT2 PTE2 PTE2A	Homo sapiens (Human)	483
Q29149	A4_URSMA	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: Soluble APP-beta (S-APP-beta); CTF-alpha; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57))] (Fragment)	APP	Ursus maritimus (Polar bear) (Thalarctos maritimus)	57
P0C1Z0	3SE2_DENAN	reviewed	Fasciculin-2 (Fas-2) (Fas2) (Acetylcholinesterase toxin F-VII) (Fasciculin-II) (FAS-II) (Toxin TA1)		Dendroaspis angusticeps (Eastern green mamba) (Naja angusticeps)	61
P86906	A4_FELCA	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: Beta-amyloid protein 40 (Beta-APP40)] (Fragment)	APP	Felis catus (Cat) (Felis silvestris catus)	40
Q8IZP0	ABI1_HUMAN	reviewed	Abl interactor 1 (Abelson interactor 1) (Abi-1) (Abl-binding protein 4) (AblBP4) (Eps8 SH3 domain-binding protein) (Eps8-binding protein) (Nap1-binding protein) (Nap1BP) (Spectrin SH3 domain-binding protein 1) (e3B1)	ABI1 SSH3BP1	Homo sapiens (Human)	508
P01011	AACT_HUMAN	reviewed	Alpha-1-antichymotrypsin (ACT) (Cell growth-inhibiting gene 24/25 protein) (Serpin A3) [Cleaved into: Alpha-1-antichymotrypsin His-Pro-less]	SERPINA3 AACT GIG24 GIG25	Homo sapiens (Human)	423
Q9Z103	ADNP_MOUSE	reviewed	Activity-dependent neuroprotector homeobox protein (Activity-dependent neuroprotective protein)	Adnp	Mus musculus (Mouse)	1108
Q28280	A4_CANLF	reviewed	Amyloid beta A4 protein (ABPP) (APP) (Alzheimer disease amyloid A4 protein homolog) (Amyloid precursor protein) (Beta-amyloid precursor protein) [Cleaved into: Soluble APP-beta (S-APP-beta); CTF-alpha; Beta-amyloid protein 42 (Beta-APP42); Beta-amyloid protein 40 (Beta-APP40); Gamma-secretase C-terminal fragment 59 (Gamma-CTF(59)); Gamma-secretase C-terminal fragment 57 (Gamma-CTF(57))] (Fragment)	APP	Canis lupus familiaris (Dog) (Canis familiaris)	58
Q10741	ADA10_BOVIN	reviewed	Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (Myelin-associated metalloproteinase) (CD antigen CD156c)	ADAM10 MADM	Bos taurus (Bovine)	748
Q99767	APBA2_HUMAN	reviewed	Amyloid beta A4 precursor protein-binding family A member 2 (Adapter protein X11beta) (Neuron-specific X11L protein) (Neuronal Munc18-1-interacting protein 2) (Mint-2)	APBA2 MINT2 X11L	Homo sapiens (Human)	749
O00213	APBB1_HUMAN	reviewed	Amyloid beta A4 precursor protein-binding family B member 1 (Protein Fe65)	APBB1 FE65 RIR	Homo sapiens (Human)	710
P55008	AIF1_HUMAN	reviewed	Allograft inflammatory factor 1 (AIF-1) (Ionized calcium-binding adapter molecule 1) (Protein G1)	AIF1 G1 IBA1	Homo sapiens (Human)	147
O35827	APBB3_RAT	reviewed	Amyloid beta A4 precursor protein-binding family B member 3 (Protein Fe65-like 2) (Fe65L2)	Apbb3 Fe65l2	Rattus norvegicus (Rat)	504
Q02410	APBA1_HUMAN	reviewed	Amyloid beta A4 precursor protein-binding family A member 1 (Adapter protein X11alpha) (Neuron-specific X11 protein) (Neuronal Munc18-1-interacting protein 1) (Mint-1)	APBA1 MINT1 X11	Homo sapiens (Human)	837
Q61271	ACV1B_MOUSE	reviewed	Activin receptor type-1B (EC 2.7.11.30) (Activin receptor type IB) (ACTR-IB) (Activin receptor-like kinase 4) (ALK-4) (Serine/threonine-protein kinase receptor R2) (SKR2)	Acvr1b Alk4	Mus musculus (Mouse)	505
O96018	APBA3_HUMAN	reviewed	Amyloid beta A4 precursor protein-binding family A member 3 (Adapter protein X11gamma) (Neuron-specific X11L2 protein) (Neuronal Munc18-1-interacting protein 3) (Mint-3)	APBA3 MINT3 X11L2	Homo sapiens (Human)	575
Q9QXJ1	APBB1_MOUSE	reviewed	Amyloid beta A4 precursor protein-binding family B member 1 (Protein Fe65)	Apbb1 Fe65	Mus musculus (Mouse)	710
P39687	AN32A_HUMAN	reviewed	Acidic leucine-rich nuclear phosphoprotein 32 family member A (Acidic nuclear phosphoprotein pp32) (pp32) (Leucine-rich acidic nuclear protein) (LANP) (Mapmodulin) (Potent heat-stable protein phosphatase 2A inhibitor I1PP2A) (Putative HLA-DR-associated protein I) (PHAPI)	ANP32A C15orf1 LANP MAPM PHAP1	Homo sapiens (Human)	249
